Entity,Code,Year,military_share,gdp_capita,population
Afghanistan,AFG,2016,0.89233619,0.89233619,0.89233619
Albania,ALB,2016,1.229624,1.229624,1.229624
Algeria,DZA,2016,6.5467024,6.5467024,6.5467024
Angola,AGO,2016,2.9486744,2.9486744,2.9486744
Argentina,ARG,2016,0.954768,0.954768,0.954768
Armenia,ARM,2016,4.0898852,4.0898852,4.0898852
Australia,AUS,2016,2.0013125,2.0013125,2.0013125
Azerbaijan,AZE,2016,3.6427701,3.6427701,3.6427701
Bangladesh,BGD,2016,1.4417896,1.4417896,1.4417896
Belarus,BLR,2016,1.2725638,1.2725638,1.2725638
Belgium,BEL,2016,0.87141937,0.87141937,0.87141937
Belize,BLZ,2016,1.1690158,1.1690158,1.1690158
Benin,BEN,2016,1.1432455,1.1432455,1.1432455
Bolivia,BOL,2016,1.6751555,1.6751555,1.6751555
Bosnia and Herzegovina,BIH,2016,0.99343908,0.99343908,0.99343908
Botswana,BWA,2016,3.3710008,3.3710008,3.3710008
Brazil,BRA,2016,1.3179413,1.3179413,1.3179413
Brunei,BRN,2016,3.5393846,3.5393846,3.5393846
Bulgaria,BGR,2016,1.4433044,1.4433044,1.4433044
Burkina Faso,BFA,2016,1.2333869,1.2333869,1.2333869
Burundi,BDI,2016,2.2078493,2.2078493,2.2078493
Cambodia,KHM,2016,1.8475696,1.8475696,1.8475696
Cameroon,CMR,2016,1.6005238,1.6005238,1.6005238
Canada,CAN,2016,0.99131018,0.99131018,0.99131018
Cape Verde,CPV,2016,0.62905407,0.62905407,0.62905407
Chad,TCD,2016,2.786067,2.786067,2.786067
Chile,CHL,2016,1.8657224,1.8657224,1.8657224
China,CHN,2016,1.9229624,1.9229624,1.9229624
Colombia,COL,2016,3.3869185,3.3869185,3.3869185
Congo,COG,2016,7.1702466,7.1702466,7.1702466
Cote d'Ivoire,CIV,2016,1.1768368,1.1768368,1.1768368
Croatia,HRV,2016,1.3776548,1.3776548,1.3776548
Cyprus,CYP,2016,1.7814808,1.7814808,1.7814808
Czechia,CZE,2016,1.0134143,1.0134143,1.0134143
Democratic Republic of Congo,COD,2016,1.3396587,1.3396587,1.3396587
Denmark,DNK,2016,1.1479144,1.1479144,1.1479144
Dominican Republic,DOM,2016,0.63910162,0.63910162,0.63910162
Ecuador,ECU,2016,2.2133992,2.2133992,2.2133992
Egypt,EGY,2016,1.6672821,1.6672821,1.6672821
El Salvador,SLV,2016,0.8679924,0.8679924,0.8679924
Equatorial Guinea,GNQ,2016,0.17916869,0.17916869,0.17916869
Estonia,EST,2016,2.1705427,2.1705427,2.1705427
Eswatini,SWZ,2016,1.8057698,1.8057698,1.8057698
Ethiopia,ETH,2016,0.6707921,0.6707921,0.6707921
Fiji,FJI,2016,0.97528404,0.97528404,0.97528404
Finland,FIN,2016,1.371098,1.371098,1.371098
France,FRA,2016,2.2615852,2.2615852,2.2615852
Gabon,GAB,2016,1.4272537,1.4272537,1.4272537
Georgia,GEO,2016,2.1962593,2.1962593,2.1962593
Germany,DEU,2016,1.184881,1.184881,1.184881
Ghana,GHA,2016,0.37920931,0.37920931,0.37920931
Greece,GRC,2016,2.5567997,2.5567997,2.5567997
Guatemala,GTM,2016,0.39449373,0.39449373,0.39449373
Guinea,GIN,2016,2.4870148,2.4870148,2.4870148
Guyana,GUY,2016,1.4227139,1.4227139,1.4227139
Honduras,HND,2016,1.5868695,1.5868695,1.5868695
Hungary,HUN,2016,1.0086918,1.0086918,1.0086918
India,IND,2016,2.474853,2.474853,2.474853
Indonesia,IDN,2016,0.87613177,0.87613177,0.87613177
Iraq,IRQ,2016,3.6346323,3.6346323,3.6346323
Ireland,IRL,2016,0.3398577,0.3398577,0.3398577
Israel,ISR,2016,5.6420422,5.6420422,5.6420422
Italy,ITA,2016,1.5103074,1.5103074,1.5103074
Jamaica,JAM,2016,0.8240242,0.8240242,0.8240242
Japan,JPN,2016,0.93462622,0.93462622,0.93462622
Jordan,JOR,2016,4.5779071,4.5779071,4.5779071
Kazakhstan,KAZ,2016,0.82480341,0.82480341,0.82480341
Kenya,KEN,2016,1.3226782,1.3226782,1.3226782
Kyrgyzstan,KGZ,2016,3.1513398,3.1513398,3.1513398
Latvia,LVA,2016,1.4703453,1.4703453,1.4703453
Lesotho,LSO,2016,1.849736,1.849736,1.849736
Liberia,LBR,2016,0.58346027,0.58346027,0.58346027
Lithuania,LTU,2016,1.4887112,1.4887112,1.4887112
Luxembourg,LUX,2016,0.49082109,0.49082109,0.49082109
Madagascar,MDG,2016,0.59352714,0.59352714,0.59352714
Malawi,MWI,2016,0.60814971,0.60814971,0.60814971
Malaysia,MYS,2016,1.4072088,1.4072088,1.4072088
Mali,MLI,2016,2.6261101,2.6261101,2.6261101
Malta,MLT,2016,0.52561229,0.52561229,0.52561229
Mauritania,MRT,2016,2.969286,2.969286,2.969286
Mauritius,MUS,2016,0.18796006,0.18796006,0.18796006
Mexico,MEX,2016,0.57575798,0.57575798,0.57575798
Moldova,MDA,2016,0.44000417,0.44000417,0.44000417
Mongolia,MNG,2016,0.91546202,0.91546202,0.91546202
Montenegro,MNE,2016,1.610418,1.610418,1.610418
Morocco,MAR,2016,3.2798355,3.2798355,3.2798355
Mozambique,MOZ,2016,1.0312053,1.0312053,1.0312053
Namibia,NAM,2016,4.44099,4.44099,4.44099
Nepal,NPL,2016,1.5249516,1.5249516,1.5249516
Netherlands,NLD,2016,1.2005953,1.2005953,1.2005953
New Zealand,NZL,2016,1.1319803,1.1319803,1.1319803
Nicaragua,NIC,2016,0.54840541,0.54840541,0.54840541
Niger,NER,2016,2.2138062,2.2138062,2.2138062
Nigeria,NGA,2016,0.43248826,0.43248826,0.43248826
North Macedonia,MKD,2016,0.97254223,0.97254223,0.97254223
Norway,NOR,2016,1.6191213,1.6191213,1.6191213
Oman,OMN,2016,13.730983,13.730983,13.730983
Pakistan,PAK,2016,3.5629499,3.5629499,3.5629499
Paraguay,PRY,2016,1.2506863,1.2506863,1.2506863
Peru,PER,2016,1.2910366,1.2910366,1.2910366
Philippines,PHL,2016,1.2787623,1.2787623,1.2787623
Poland,POL,2016,1.9889033,1.9889033,1.9889033
Portugal,PRT,2016,1.8406599,1.8406599,1.8406599
Romania,ROU,2016,1.4747721,1.4747721,1.4747721
Russia,RUS,2016,5.3981905,5.3981905,5.3981905
Rwanda,RWA,2016,1.2087187,1.2087187,1.2087187
Saudi Arabia,SAU,2016,9.8497868,9.8497868,9.8497868
Senegal,SEN,2016,1.7203158,1.7203158,1.7203158
Serbia,SRB,2016,1.8814355,1.8814355,1.8814355
Seychelles,SYC,2016,1.2872616,1.2872616,1.2872616
Sierra Leone,SLE,2016,0.81433451,0.81433451,0.81433451
Singapore,SGP,2016,3.3544827,3.3544827,3.3544827
Slovakia,SVK,2016,1.156155,1.156155,1.156155
Slovenia,SVN,2016,0.91888475,0.91888475,0.91888475
Somalia,SOM,2016,3.29489E-05,3.29489E-05,3.29489E-05
South Africa,ZAF,2016,1.0726829,1.0726829,1.0726829
South Korea,KOR,2016,2.6071384,2.6071384,2.6071384
Spain,ESP,2016,1.2090486,1.2090486,1.2090486
Sri Lanka,LKA,2016,2.4424407,2.4424407,2.4424407
Sudan,SDN,2016,2.829278,2.829278,2.829278
Sweden,SWE,2016,1.0415353,1.0415353,1.0415353
Switzerland,CHE,2016,0.70959735,0.70959735,0.70959735
Tanzania,TZA,2016,1.1401817,1.1401817,1.1401817
Thailand,THA,2016,1.4452711,1.4452711,1.4452711
Togo,TGO,2016,1.8645321,1.8645321,1.8645321
Trinidad and Tobago,TTO,2016,1.1248719,1.1248719,1.1248719
Tunisia,TUN,2016,2.3185298,2.3185298,2.3185298
Turkey,TUR,2016,1.726131,1.726131,1.726131
Uganda,UGA,2016,1.5676425,1.5676425,1.5676425
Ukraine,UKR,2016,3.6719813,3.6719813,3.6719813
United Kingdom,GBR,2016,1.8437858,1.8437858,1.8437858
United States,USA,2016,3.2914166,3.2914166,3.2914166
Uruguay,URY,2016,1.854261,1.854261,1.854261
Vietnam,VNM,2016,2.4429607,2.4429607,2.4429607
World,OWID_WRL,2016,2.2245953,2.2245953,2.2245953
Zambia,ZMB,2016,1.5319215,1.5319215,1.5319215
Zimbabwe,ZWE,2016,2.1981726,2.1981726,2.1981726